epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.519,1.41368,1.8666,1.32134,0.95037,0.87485,0.92814,0.57913,1.2981,1.58322,1.08096,0.00035725,0.00035725,0.00035725
2,22.4929,1.24548,1.00779,1.21861,0.78113,0.82508,0.82961,0.53341,1.17668,1.28029,1.16111,0.000721575,0.000721575,0.000721575
3,32.2358,1.30209,1.01985,1.25794,0.68727,0.79006,0.84921,0.55071,1.14877,1.87831,1.20254,0.00107854,0.00107854,0.00107854
4,41.7857,1.26708,0.98765,1.24744,0.7142,0.79341,0.8142,0.46547,1.39081,1.5609,1.42916,0.00138656,0.00138656,0.00138656
5,52.0089,1.25301,0.92329,1.23009,0.49443,0.3978,0.36953,0.19029,2.10278,2.3686,1.83401,0.00137241,0.00137241,0.00137241
6,61.1449,1.20667,0.88418,1.21327,0.78941,0.84327,0.85497,0.50592,1.09322,0.92545,1.15479,0.00135826,0.00135826,0.00135826
7,71.1646,1.19146,0.8672,1.20824,0.85687,0.82044,0.87512,0.56966,1.13978,0.88281,1.12655,0.00134412,0.00134412,0.00134412
8,80.9691,1.15593,0.84963,1.20138,0.93734,0.90384,0.93249,0.57979,1.18846,0.84203,1.1042,0.00132997,0.00132997,0.00132997
9,90.2596,1.14683,0.79299,1.18045,0.92922,0.90595,0.95261,0.63219,1.06074,0.70568,1.05411,0.00131582,0.00131582,0.00131582
10,99.8765,1.13525,0.80172,1.18775,0.82714,0.82586,0.88221,0.59242,0.95582,0.76854,1.05984,0.00130168,0.00130168,0.00130168
11,109.718,1.11479,0.77553,1.15931,0.86619,0.89407,0.93067,0.62947,1.01805,0.82047,1.06748,0.00128753,0.00128753,0.00128753
12,119.776,1.0928,0.73072,1.14612,0.86545,0.84786,0.90512,0.61277,1.05873,0.78229,1.07403,0.00127338,0.00127338,0.00127338
13,128.428,1.09658,0.75721,1.16245,0.88342,0.94448,0.94882,0.64064,0.96174,0.64416,1.00799,0.00125923,0.00125923,0.00125923
14,138.245,1.03783,0.73488,1.11896,0.92658,0.96386,0.96148,0.67467,0.93331,0.59719,1.02342,0.00124509,0.00124509,0.00124509
15,148.075,1.05478,0.74677,1.14967,0.94479,0.90305,0.95387,0.69411,0.892,0.59978,0.99467,0.00123094,0.00123094,0.00123094
16,157.417,1.03043,0.72485,1.13364,0.94249,0.96386,0.96176,0.67873,1.01303,0.58825,1.06717,0.00121679,0.00121679,0.00121679
17,166.805,1.02198,0.69322,1.1159,0.96867,0.94481,0.96095,0.6696,0.88132,0.56499,1.00498,0.00120265,0.00120265,0.00120265
18,176.467,1.02164,0.68725,1.1166,0.92398,0.94713,0.9611,0.68709,0.98106,0.6312,1.04711,0.0011885,0.0011885,0.0011885
19,186.286,1.02907,0.70236,1.13389,0.9718,0.94481,0.94041,0.64883,1.06491,0.63822,1.04875,0.00117435,0.00117435,0.00117435
20,195.272,1.02338,0.68433,1.13205,0.86612,0.93485,0.91951,0.64434,1.00292,0.64307,1.05384,0.00116021,0.00116021,0.00116021
21,205.022,0.99466,0.65115,1.09884,0.92047,0.95236,0.93682,0.6592,0.91264,0.56066,1.00342,0.00114606,0.00114606,0.00114606
22,214.459,0.96369,0.624,1.09003,0.88797,0.89156,0.91547,0.60842,1.05359,0.57986,1.05679,0.00113191,0.00113191,0.00113191
